Name,City,Phone,Website,Address,Under 36mo,Preschool,School Age,Mandarin,Cantonese,CCFRI
Hand In Hand - Ten Broeck Elementary,Abbotsford,604-859-1843,,"2580 Stanley St, Abbotsford, BC V2T 2R4",,,,,,Y
Hand In Hand - Terry Fox Elementary,Abbotsford,604-859-1843,,"3071 Babich St, Abbotsford, BC V2S 5W5",,,,,,Y
Honey Bee Academy Family Daycare,Abbotsford,604-744-9109,,"3772 Nicola St, Abbotsford, BC V2T 4Z8",,,,,,Y
Jd Tiny Steps Childcare Ltd,Abbotsford,778-926-0874,,"2378 Harper Dr, Abbotsford, BC V3G 2B2",Y,Y,Y,,,Y
Joyful Christian Childcare Abbotsford,Abbotsford,778-952-3870,,"2597 Bourquin Cres E, Abbotsford, BC V2S 1Y6",Y,,,,,Y
Junior Adventures Childcare Academy,Abbotsford,778-982-4530,,"3031 Sandpiper Dr, Abbotsford, BC V2T 5K3",,,,,,Y
Just B4 Dormick Park Elementary,Abbotsford,604-864-5437,,"32161 Dormick Ave, Abbotsford, BC V2T 1J6",,,,,,Y
Khalsa Child Care Centre,Abbotsford,604-594-0553,,"30640 Blueridge Dr, Abbotsford, BC V2T 5W3",,,,,,Y
Kiddie Club Childcare Center,Abbotsford,778-963-8811,,"22-32700 South Fraser Way, Abbotsford, BC V2T 4M5",,,,,,Y
Kiddie Cottage Childcare Ltd,Abbotsford,604-388-0022,,"2472 Sunnyside View, Abbotsford, BC V2T 4K7",,,,,,Y
Kids & I Daycare Ltd,Abbotsford,604-679-9035,,"31505 Southern Dr, Abbotsford, BC V2T 5P1",,,,,,Y
Kids Club Child Care Centre Ltd. (Delair Road),Abbotsford,604-556-7355,,"35190 Delair Rd, Abbotsford, BC V3G 2E2",,,,,,Y
Kids Club Child Care Centre Ltd. (Gladwin),Abbotsford,604-852-2822,,"3845 Gladwin Rd, Abbotsford, BC V2S 7A1",,,,,,Y
Kids Club Child Care Centre Ltd. (Mcmillan Rd),Abbotsford,604-852-6606,,"3130 mcmillan Rd, Abbotsford, BC V2S 6A8",,,,,,Y
Kids Kingdom Early Learning Centre Ltd,Abbotsford,778-956-9707,,"106-2276 Clearbrook Rd, Abbotsford, BC V2T 2X5",,,,,,Y
Kids Zone Child Care Centre - Bradner Elementary,Abbotsford,778-239-2075,,"5291 Bradner Rd, Abbotsford, BC V4X 2P5",,,,,,Y
Kids Zone-Sema:Th,Abbotsford,778-239-2075,,"36321 Vye Rd, Abbotsford, BC V3G 1Z5",,,,,,Y
Ladybug Landing Preschool,Abbotsford,604-850-2474,,"31789 Thornhill Pl, Abbotsford, BC V2T 6Y3",,Y,,,,Y
Lark Montessori Early Learning Centre (1468683 Bc Ltd),Abbotsford,778-227-4692,,"33323 South Fraser Way, Abbotsford, BC V2S 2B2",Y,Y,,,,Y
Leanne's Place Family Daycare,Abbotsford,604-852-2060,,"2065 Majestic Cres, Abbotsford, BC V2T 3E9",,,,,,Y
Learn N' Play Abbotsford,Abbotsford,604-288-8271,,"100-2525 mccallum Rd, Abbotsford, BC V2S 3R1",,,,,,Y
Learn N' Play Childcare Centre,Abbotsford,604-561-0444,,"110-28040 Fraser Hwy, Abbotsford, BC V4X 0C1",,,,,,Y
"Learning Circle mccallum Tower, The",Abbotsford,604-870-1395,,"2151 mccallum Rd, Abbotsford, BC V2S 3N8",,,,,,Y
Li'l Acorn Childcare,Abbotsford,604-853-9376,,"2527 Gladwin Rd, Abbotsford, BC V2T 3N8",,,,,,Y
Little Academics Childcare Ltd.,Abbotsford,778-245-0373,,"3686 Blue Jay St, Abbotsford, BC V2T 6R6",Y,Y,Y,,,Y
Little Adventurers Learning Centre Inc.,Abbotsford,778-865-9816,,"33145 Capri Crt, Abbotsford, BC V2S 5N5",,,,,,Y
Little Caterpillars Childcare Inc,Abbotsford,604-799-7749,,"5137 Tolmie Rd, Abbotsford, BC V3G 2V4",Y,Y,Y,,,Y
Little Champs Childcare,Abbotsford,778-552-0006,,"2124 Broadway St, Abbotsford, BC V2T 3G5",,,,,,Y
Little Dreamers,Abbotsford,604-614-5308,,"31150 Blueridge Dr, Abbotsford, BC V2T 5R2",,,,,,Y
Little Dreamers Childcare Ltd,Abbotsford,604-614-5308,,"31150 Blueridge Dr, Abbotsford, BC V2T 5R2",,,,,,Y
Little Dreamers Childcare Ltd.,Abbotsford,604-614-5308,,"#140 - #150 - 3720 Townline Rd, Abbotsford, BC V2T 5W8",,,,,,Y
Little Dreamers Childcare Ltd.,Abbotsford,604-614-5308,,"31321 Blueridge Dr, Abbotsford, BC V2T 6W2",,,,,,Y
Little Dreamers Preschool Ltd.,Abbotsford,604-614-5308,,"33165 King Rd, Abbotsford, BC V2S 7Z9",,,,,,Y
Little Hands Learning Center,Abbotsford,604-302-1091,,"2626 Ross Rd, Abbotsford, BC V4X 1J4",,,,,,Y
Little Koala Montessi Academy - Abbotsford,Abbotsford,778-856-1281,,"2335 mccallum Rd, Abbotsford, BC V2S 3N7",,,,,,Y
Little Leaders Childcare Centre,Abbotsford,604-217-1404,,"1528 mccallum Rd, Abbotsford, BC V2T 3W2",,,,,,Y
Little Leaders Childcare Centre,Abbotsford,604-217-1404,,"2760 Emerson St, Abbotsford, BC V2T 3J6",,,,,,Y
Little Leaders Childcare Centre Inc.,Abbotsford,604-217-1404,,"4-33575 Mayfair Ave, Abbotsford, BC V2S 1P6",,,,,,Y
Little Lions Childcare,Abbotsford,778-347-0553,,"103-2955 Immel St, Abbotsford, BC V2S 7E2",,,,,,Y
Little Masters Childcare,Abbotsford,672-985-5230,,"34697 4Th Ave, Abbotsford, BC V2S 8B8",,,,,,Y
Little Oreos Daycare Ltd.,Abbotsford,778-344-5123,,"3347 Siskin Dr, Abbotsford, BC V2T 6T4",,,,,,Y
Little Red Wagon Childcare,Abbotsford,604-831-2018,,"35694 mckee Rd, Abbotsford, BC V3G 2Z2",,,,,,Y
Little Sunshine Day Care,Abbotsford,604-584-3536,,"2660 Albert Way, Abbotsford, BC V2T 2R2",,,,,,Y
Little Twinkle Preschool/Out Of School Care (Mount Lehman),Abbotsford,604-614-5562,,"3551 Crestview Ave, Abbotsford, BC V2T 6Y5",,,,,,Y
Little Wonders Montessori Childcare & Preschool Ltd.,Abbotsford,604-853-9998,,"115 36363 Auguston Pky S, Abbotsford, BC V3G 2Y7",,,,,,Y
Little Wonders Montessori Childcare & Preschool Ltd.,Abbotsford,604-621-5116,,"33911 Hazelwood Ave, Abbotsford, BC V2S 7V2",,,,,,Y
Little Wonders Montessori Childcare Centre & Preschool Ltd,Abbotsford,604-853-9998,,"2884 Gladys Ave, Abbotsford, BC V2S 3Y2",,,,,,Y
Mama Bears Daycare,Abbotsford,604-791-2232,,"2908 Old Clayburn Rd, Abbotsford, BC V2S 4G7",Y,Y,,,,Y
Maranatha Kids Care,Abbotsford,604-859-8405,,"3580 Clearbrook Rd, Abbotsford, BC V2T 5C1",,,,,,Y
Max'inux Childcare Inc,Abbotsford,604-786-5990,,"4351 Meighen Pl, Abbotsford, BC V3G 3C5",,,,,,Y
Meadowland Childcare Ltd,Abbotsford,604-771-8532,,"32241 Clinton Ave, Abbotsford, BC V2T 5B5",,,,,,Y
Mei Elementary Preschool,Abbotsford,604-859-3700,,"31655 Downes Rd, Abbotsford, BC V4X 2M8",,Y,,,,Y
Mr. Moose's Childcare Learning Centre Ltd.,Abbotsford,604-853-2769,,"32130 Hillcrest Ave, Abbotsford, BC V2T 1P8",,,,,,Y
Msa Montessori Preschool,Abbotsford,604-820-4987,,"33676 St. Olaf Ave, Abbotsford, BC V4X 1T6",,,,,,Y
New Creation Christian Childcare Center Inc,Abbotsford,778-751-6395,,"3471 Clearbrook Rd, Abbotsford, BC V2T 5N1",,,,,,Y
New Leaf Learning And Childcare Centre,Abbotsford,604-613-1919,,"#100 - 31838 South Fraser Way, Abbotsford, BC V2T 1V3",,,,,,Y
New Leaf Learning And Childcare Centre Inc.,Abbotsford,604-613-1919,,"33442 South Fraser Way, Abbotsford, BC V2S 2B5",,,,,,Y
Next Level Childcare Fraser Valley Inc.,Abbotsford,604-380-4060,,"2699 West Railway St, Abbotsford, BC V2S 2E7",,,,,,Y
Next Level Childcare Society - Clearbrook,Abbotsford,604-380-4060,,"112-2653 Trethewey St, Abbotsford, BC V2T 0B5",,,,,,Y
Peardonville House Day Care,Abbotsford,604-864-0039,,"825 Peardonville Rd, Abbotsford, BC V4X 2L8",,,,,,Y
Peek 'N' Play Child Care Centre Inc,Abbotsford,604-721-9626,,"2317 Mouldstade Rd, Abbotsford, BC V2S 3X5",,,,,,Y
Praise Daycare,Abbotsford,778-856-1718,,"3427 Clearbrook Rd, Abbotsford, BC V2T 4P1",,,,,,Y
Precious Treasures Child Care,Abbotsford,778-552-8501,,"3941 Waterton Cres, Abbotsford, BC V3G 1J8",,,,,,Y
Puddlejumpers Childcare Centre,Abbotsford,778-809-1416,,"34824 Orchard Dr, Abbotsford, BC V3G 2B4",Y,Y,,,,Y
Pure Play Child Care,Abbotsford,604-226-3714,,"5824 Riverside St, Abbotsford, BC V4X 1V1",,,,,,Y
Pure Play Child Care Marshall Inc.,Abbotsford,604-854-0327,,"201-34314 Marshall Rd, Abbotsford, BC V2S 1L9",,,,,,Y
Qt Daycare #2,Abbotsford,604-851-2201,,"32034 Hillcrest Ave, Abbotsford, BC V2T 1S4",,,,,,Y
Quality Time Childcare Centre,Abbotsford,778-551-3099,,"31668 South Fraser Way, Abbotsford, BC V2T 1T9",,,,,,Y
Quality Time Childcare Centre Inc.,Abbotsford,778-551-3099,,"2865 Cruickshank St, Abbotsford, BC V2T 5E7",Y,Y,,,,Y
Red Apple Day Care Centre,Abbotsford,778-669-0268,,"32354 Marshall Rd, Abbotsford, BC V2T 1A4",Y,Y,,,,Y
Redwood Early Childhood Education,Abbotsford,778-288-8855,,"107-1785 Clearbrook Rd, Abbotsford, BC V2T 5X5",,,,,,Y
Ridgeview Daycare Ltd.,Abbotsford,604-744-9412,,"31311 Ridgeview Dr, Abbotsford, BC V2T 6N5",,,,,,Y
Sandbox Early Learning (Abbotsford),Abbotsford,604-868-7121,,"32560 Simon Ave, Abbotsford, BC V2T 5L7",,,,,,Y
Sehaj Childcare Centre,Abbotsford,778-245-8277,,"31475 Ridgeview Dr, Abbotsford, BC V2T 5P2",,,,,,Y
Seven Colours Daycare,Abbotsford,778-982-8814,,"2858 Gardner Crt, Abbotsford, BC V2T 5H9",,,,,,Y
Shining Stars Learning Academy (Abbotsford),Abbotsford,604-316-5853,,"2556 Montrose Ave, Abbotsford, BC V2S 3T3",,,,,,Y
Shiny Duckling Daycare Ltd,Abbotsford,778-345-8606,,"35445 Delair Rd, Abbotsford, BC V3G 2C7",,,,,,Y
Shreya Academic Centre Ltd.,Abbotsford,604-832-1880,,"3180 Crown Crt, Abbotsford, BC V2T 4J8",,,,,,Y
Sinoah's Ark,Abbotsford,604-615-1529,,"2748 Sandon Dr, Abbotsford, BC V2S 7J3",,,,,,Y
Small Beginnings Preschool - Little Leaders Childcare,Abbotsford,604-217-1404,,"2975 Bradner Rd, Abbotsford, BC V4X 1K6",,,,,,Y
Smalls & Smiles Childcare Centre Ltd,Abbotsford,204-906-1313,smalls.smiles2childcarecentre@gmail.com,"3414 Hazelwood Pl, Abbotsford, BC V2S 0H8",,,,,,Y
Smalls & Smiles Childcare Centre Ltd.,Abbotsford,204-906-1313,www.smallsandsmileschildcarecentre.ca,"3444 Hazelwood Pl, Abbotsford, BC V2S 0H8",,,,,,Y
Smart Steps Daycare,Abbotsford,604-363-7339,,"31079 Southern Dr, Abbotsford, BC V2T 5K2",Y,Y,,,,Y
Smile 'N' Play Daycare Centre Inc.,Abbotsford,604-655-5040,,"3411 Mckinley Dr, Abbotsford, BC V2S 8M8",,,,,,Y
Smiles 4 Miles,Abbotsford,778-551-3260,,"31105 Heron Ave, Abbotsford, BC V2T 5K5",,,,,,Y
St James ymca Kids Club,Abbotsford,604-320-5828,,"2777 Townline Rd, Abbotsford, BC V2T 5E1",,,,,,Y
St. Ann's Parish Daycare,Abbotsford,604-852-5602,,"33333 Mayfair Ave, Abbotsford, BC V2S 1P4",,,,,,Y
Star Steps Daycare,Abbotsford,778-779-6088,,"110 - 30475 Cardinal Ave, Abbotsford, BC V2T 0E4",,,,,,Y
Stars Of The Sky Child Care Ltd.,Abbotsford,604-854-8007,www.childcarestarsofthesky.com,"34790 Laburnum Ave, Abbotsford, BC V2S 5N4",,,,,,Y
Steph's Little Sprouts Child Care,Abbotsford,604-219-1447,,"2343 Harper Dr, Abbotsford, BC V3G 2B2",,,,,,Y
Sun Hang Do Martial Arts Kids Life Skills Club (Abbotsford),Abbotsford,604-852-4222,,"6-34100 South Fraser Way, Abbotsford, BC V2S 2C6",,,,,,
Sunlight Fraser Valley Daycare,Abbotsford,639-916-0322,,"3366 Goldfinch Pl, Abbotsford, BC V2T 5S1",,,,,,Y
Sweet Pea's Daycare,Abbotsford,604-961-9606,,"3441 Eton Cres, Abbotsford, BC V2S 4W1",,,,,,Y
Symmetry Early Learning Center Inc,Abbotsford,778-386-3173,,"109-2526 Yale Crt, Abbotsford, BC V2S 8G9",,,,,,Y
Taylin Child Care Delair Rd,Abbotsford,604-349-4066,,"35270 Delair Rd, Abbotsford, BC V3G 2E2",,,,,,Y
Terry Fox Childcare,Abbotsford,604-441-7111,,"33341 Terry Fox Ave, Abbotsford, BC V2S 6T9",,,,,,Y
The Backyard Daycare,Abbotsford,604-897-6927,,"2983 Palm Cres, Abbotsford, BC V2T 2G5",,Y,,,,Y
The Open Door,Abbotsford,604-859-8406,,"2390 mcmillan Rd, Abbotsford, BC V2S 7R3",,,,,,Y
Tiger Stripes Learning Center,Abbotsford,778-772-6289,,"2451 Ross Rd, Abbotsford, BC V4X 1J3",,,,,,Y
Tiny Scholars Inc.,Abbotsford,604-744-0362,,"100-2121 Clearbrook Rd, Abbotsford, BC V2T 4H6",,,,,,Y
Tiny Stars Child Care,Abbotsford,778-347-6309,,"30682 Sandpiper Dr, Abbotsford, BC V2T 5N3",Y,Y,Y,,,Y
Tiny Toddlers Daycare,Abbotsford,236-788-0008,,"33472 King Rd, Abbotsford, BC V2S 6J5",,,,,,Y
Tiny Turtles Daycare,Abbotsford,778-835-0149,,"34324 Old Yale Rd, Abbotsford, BC V2S 2K5",,,,,,Y
Toor's Daycare Center,Abbotsford,604-614-3828,,"31406 Springhill Crt, Abbotsford, BC V2T 4J9",,,,,,Y
Valley Pine Learning Centre,Abbotsford,604-866-9909,,"33264 Old Yale Rd, Abbotsford, BC V2S 2J5",,,,,,Y
Valley Pine Learning Centre Inc,Abbotsford,604-864-6424,,"100-2485 West Railway St, Abbotsford, BC V2S 2E5",,,,,,Y
Wagner Childcare & Learning Centre Ltd.,Abbotsford,778-989-3930,,"3511 Wagner Dr, Abbotsford, BC V2T 6V3",,,,,,Y
Wander Home Learning Childcare,Abbotsford,306-606-6000,,"31382 Windsor Ct, Abbotsford, BC V2T 6L8",,,,,,Y
Welcome Kids Daycare,Abbotsford,778-893-8938,,"2268 Mountain Dr, Abbotsford, BC V3G 1E4",,,,,,Y
Whimsical Wonders Childcare,Abbotsford,778-246-1530,,"2090 Ware St, Abbotsford, BC V2S 3C2",,,,,,Y
Wibble Wobble Childcare - Clearbrook,Abbotsford,778-955-3030,,"2137 Beaver St, Abbotsford, BC V2T 3C7",Y,Y,,,,Y
Wind And Tide Preschool - Gladwin,Abbotsford,604-575-0549,,"3474 Gladwin Rd, Abbotsford, BC V2S 7B4",,,,,,Y
Wings Of Life Fine Arts Child Care,Abbotsford,604-302-2666,,"2630 Langdon St, Abbotsford, BC V2T 3L2",,,,,,Y
Wondersprouts Daycare Ltd,Abbotsford,778-933-1242,,"33469 Franklin Ave, Abbotsford, BC V2S 1B1",Y,Y,Y,,,Y
Xtreme Performing Arts Academy,Abbotsford,604-615-4116,,"11-34100 South Fraser Way, Abbotsford, BC V2S 2C6",,,,,,Y
'Ccaa' Infant And Toddler Child Care Centre,Burnaby,778-322-0288,,"3978 Brandon St, Burnaby, BC V5G 2P5",,,,,,Y
2Nd Home Bilingual Child Care Center,Burnaby,778-955-7181,,"6262 Buckingham Dr, Burnaby, BC V5E 2A6",Y,Y,,Y,,Y
A & B Childcare Centre,Burnaby,778-682-3611,,"6620 Colborne Ave, Burnaby, BC V5E 2N6",,,,,,Y
A & B Daycare,Burnaby,778-995-2628,,"6436 Malvern Ave, Burnaby, BC V5E 3G1",,,,,,Y
A & B Early Learning Centre,Burnaby,778-995-2628,,"6327 Berwick Crt, Burnaby, BC V5E 4C3",,,,,,Y
A & B Learning Daycare,Burnaby,778-995-2628,,"4605 Grassmere St, Burnaby, BC V5G 2N8",,,,,,Y
A & C Family Daycare,Burnaby,604-438-0537,,"5382 Irving St, Burnaby, BC V5H 1T9",,,,,,Y
A + Child Care Centre,Burnaby,778-251-0130,,"6793 Elwell St, Burnaby, BC V5E 1K2",,,,,,Y
A Miracle Childcare,Burnaby,672-513-2463,,"6655 Georgia St, Burnaby, BC V5B 1V9",Y,,,Y,,Y
A Tree House Daycare Centre,Burnaby,778-997-2666,,"6100 Broadway, Burnaby, BC V5B 2Y2",,,,,,Y
A1 Suncrest Daycare,Burnaby,778-986-9386,,"7907 Suncrest Dr, Burnaby, BC V5J 3N4",Y,,,Y,,Y
Abc Academy - Children's Learning Center Ltd - Burnaby,Burnaby,604-317-9040,,"3830 Sunset St, Burnaby, BC V5G 1T3",,,,,,Y
Abc Childcare,Burnaby,778-238-8618,,"6938 Halligan St, Burnaby, BC V5E 1R5",,,,,,Y
Absorbent Minds Montessori Ltd.,Burnaby,604-433-2144,,"7283 Nelson Ave, Burnaby, BC V5J 4C2",,,,,,Y
Acg Early Learning Center #1,Burnaby,778-955-7181,,"4916 Imperial St, Burnaby, BC V5J 1C6",,,,,,
Adventure House Early Learning Childcare,Burnaby,236-509-4447,,"8187 12Th Ave, Burnaby, BC V3N 2L3",,,,,,Y
All Bright Early Learning Center Metro,Burnaby,778-316-5360,,"5620 Oakglen Dr, Burnaby, BC V5H 3M5",,,,,,Y
Aloha Childcare Centre,Burnaby,604-720-0076,,"6338 Neville St, Burnaby, BC V5E 1A6",,,,,,Y
Amazing Grace-Sunrise Out Of School Care,Burnaby,604-716-6352,,"3977 Albert St, Burnaby, BC V5C 2E2",,,Y,,,Y
Amazing Kidz Childcare,Burnaby,236-863-1758,,"3780 Lozells Ave, Burnaby, BC V5A 2Z1",,,,,,Y
